Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2019-09-19 15:14 (EDT),On Demand,Ally Love,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-07-17 14:22 (EDT),,,,,,,14,,,
2019-09-20 17:00 (EDT),Live,Jess King,45,Cycling,Live DJ,45 min Live DJ Ride,2019-09-20 16:48 (EDT),635,235,62%,67,22.50,16.87,869,,,
2019-09-20 17:48 (EDT),On Demand,Jess King,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-08-12 15:45 (EDT),,,,,,,14,,,
2019-09-24 13:30 (EDT),Live,Ben Alldis,20,Cycling,Theme,20 min UK Celebration Ride,2019-09-24 13:20 (EDT),300,249,63%,66,22.84,7.63,410,,,
2019-09-24 13:55 (EDT),Live,Leanne Hainsby,20,Cycling,Theme,20 min UK Celebration Ride,2019-09-24 13:50 (EDT),301,251,65%,64,23.16,7.71,412,,,
2019-09-24 14:20 (EDT),On Demand,Hannah Marie Corbin,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-09-22 14:51 (EDT),,,,,,,15,,,
2019-09-25 17:57 (EDT),On Demand,Ben Alldis,15,Cycling,Intervals,15 min HIIT Ride,2019-07-24 01:49 (EDT),223,249,65%,64,23.06,5.75,306,,,
2019-09-25 18:14 (EDT),On Demand,Ben Alldis,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-09-05 03:13 (EDT),,,,,,,14,,,
2019-09-26 18:31 (EDT),On Demand,Ally Love,15,Cycling,Theme,15 min Pop Ride,2019-09-26 11:30 (EDT),230,257,65%,66,23.35,5.83,316,,,
2019-09-26 18:48 (EDT),On Demand,Ally Love,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-07-17 14:22 (EDT),,,,,,,14,,,
2019-09-27 17:48 (EDT),On Demand,Emma Lovewell,30,Cycling,Theme,30 min Rock Ride,2019-09-26 12:17 (EDT),445,247,66%,61,22.82,11.40,609,,,
2019-09-27 18:27 (EDT),On Demand,Alex Toussaint,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-09-19 16:00 (EDT),,,,,,,14,,,
2019-09-29 16:01 (EDT),,,45,Cycling,,45 min 25 sec Just Ride,,584,214,61%,66,21.71,16.44,799,,,
2019-09-29 16:48 (EDT),On Demand,Tunde Oyeneyin,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-09-10 06:00 (EDT),,,,,,,14,,,
2019-10-01 17:13 (EDT),,,46,Cycling,,46 min 1 sec Just Ride,,559,202,59%,66,21.00,16.11,765,,,
2019-10-01 18:06 (EDT),On Demand,Cody Rigsby,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-10-01 07:00 (EDT),,,,,,,14,,,
2019-10-02 17:30 (EDT),Live,Emma Lovewell,45,Cycling,Climb,45 min Climb Ride,2019-10-02 17:19 (EDT),639,237,64%,64,22.58,16.93,875,,,
2019-10-02 18:21 (EDT),On Demand,Christine D'Ercole,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-09-19 13:33 (EDT),,,,,,,15,,,
2019-10-03 17:11 (EDT),,,45,Cycling,,45 min 27 sec Just Ride,,451,166,50%,74,19.11,14.48,618,,,
2019-10-03 18:01 (EDT),On Demand,Robin Arzon,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-09-11 15:33 (EDT),,,,,,,14,,,
2019-10-04 18:00 (EDT),Live,Matt Wilpers,45,Cycling,Live DJ,45 min Live DJ Ride,2019-10-04 17:47 (EDT),644,238,65%,64,22.69,17.01,881,,,
2019-10-04 18:51 (EDT),On Demand,Hannah Marie Corbin,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-09-22 14:51 (EDT),,,,,,,14,,,
2019-10-06 11:26 (EDT),,,47,Cycling,,47 min 8 sec Just Ride,,553,195,57%,69,20.82,16.36,757,,,
2019-10-06 12:13 (EDT),On Demand,Alex Toussaint,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-09-19 16:00 (EDT),,,,,,,15,,,
2019-10-07 18:28 (EDT),On Demand,Hannah Marie Corbin,20,Cycling,Theme,20 min 80s Pop Ride,2019-10-07 09:19 (EDT),302,252,67%,62,23.27,7.74,414,,,
2019-10-13 18:20 (EDT),On Demand,Ben Alldis,10,Cycling,Low Impact,10 min Low Impact Ride,2019-10-10 14:01 (EDT),157,263,67%,65,23.65,3.93,215,,,
2019-10-13 18:33 (EDT),On Demand,Ben Alldis,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-09-05 03:13 (EDT),,,,,,,14,,,
2019-10-14 09:30 (EDT),Live,Hannah Marie Corbin,20,Cycling,Theme,20 min Hip Hop Ride,2019-10-14 09:18 (EDT),303,253,65%,64,23.07,7.69,415,,,
2019-10-14 09:53 (EDT),On Demand,Hannah Marie Corbin,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-09-22 14:51 (EDT),,,,,,,14,,,
2019-10-15 10:45 (EDT),On Demand,Hannah Marie Corbin,20,Cycling,Intervals,20 min HIIT Ride,2019-10-14 09:52 (EDT),304,254,67%,62,23.25,7.74,416,,,
2019-10-15 11:05 (EDT),,,7,Cycling,,7 min 31 sec Just Ride,,50,111,41%,77,16.53,2.07,68,,,
2019-10-15 11:16 (EDT),On Demand,Jenn Sherman,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-10-14 15:44 (EDT),,,,,,,14,,,
2019-10-18 17:10 (EDT),On Demand,Alex Toussaint,45,Cycling,Theme,45 min Hip Hop Ride,2019-10-14 18:20 (EDT),650,241,66%,63,22.82,17.10,889,,,
2019-10-18 18:00 (EDT),On Demand,Alex Toussaint,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-09-19 16:00 (EDT),,,,,,,14,,,
2019-10-19 11:44 (EDT),On Demand,Kendall Toole,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-10-15 16:00 (EDT),,,,,,,14,,,
2019-10-26 19:16 (EDT),On Demand,Ben Alldis,5,Stretching,Post-Ride Stretch,5 min Post-Ride Stretch,2019-10-22 05:47 (EDT),,,,,,,14,,,
2019-11-01 08:03 (EDT),On Demand,Olivia Amato,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-10-19 14:45 (EDT),,,,,,,14,,,
2019-11-04 17:55 (EDT),On Demand,Alex Toussaint,15,Cycling,Theme,15 min Pop Ride,2019-10-03 15:17 (EDT),231,257,67%,63,23.37,5.84,316,,,
2019-11-04 18:13 (EDT),On Demand,Ally Love,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-10-28 13:37 (EDT),,,,,,,14,,,
